symbol,GSM1308942_BMGMdbdb.TMM.data.txt.gz,GSM1308941_BMGMdb.TMM.data.txt.gz,GSM1308940_BMMCdbdb.TMM.data.txt.gz,GSM1308939_BMMCdb.TMM.data.txt.gz
Cyp2d12,1.1,0.0,0.0,3.8
Cyp2d13,0.0,0.0,0.0,1.9
Cyp2d22,0.0,3.4,9.6,14.3
Cyp2d26,2.2,0.0,2.6,5.7
Cyp2d34,0.0,1.1,0.9,2.8
Cyp2d37-ps,0.0,0.0,0.0,0.0
Cyp2d40,1.1,0.0,1.7,0.0
Cyp2d9,0.0,0.0,1.7,2.8
Cyp2e1,0.0,0.0,0.9,1.9
Cyp2f2,0.0,2.3,0.0,1.9
Cyp2g1,0.0,0.0,0.0,0.9
Cyp2j11,1.1,0.0,0.9,3.8
Cyp2j12,0.0,0.0,0.9,0.9
Cyp2j13,0.0,0.0,0.0,3.8
Cyp2j5,2.2,0.0,3.5,1.9
Cyp2j6,166.8,209.7,172.5,120.8
Cyp2j8,0.0,0.0,0.9,0.0
Cyp2j9,6.5,4.5,6.1,10.5
Cyp2r1,18.3,16.8,23.5,18.1
Cyp2s1,21.5,22.4,15.7,12.4
Cyp2t4,15.1,6.7,15.7,19.0
Cyp2u1,9.7,11.2,12.2,21.9
Cyp2w1,2.2,2.3,5.2,6.7
Cyp39a1,7.5,5.6,20.0,13.3
Cyp3a11,1.1,1.1,0.0,2.8
Cyp3a13,0.0,0.0,0.0,4.8
Cyp3a16,0.0,0.0,0.0,0.0
Cyp3a25,2.2,0.0,0.9,3.8
Cyp3a41a,3.2,0.0,1.7,9.5
Cyp3a41b,2.2,0.0,0.9,4.8
Cyp3a44,0.0,0.0,1.7,0.0
Cyp3a57,0.0,1.1,1.7,1.9
Cyp3a59,0.0,1.1,0.9,1.9
Cyp46a1,0.0,0.0,2.6,5.7
Cyp4a10,0.0,0.0,0.9,0.9
Cyp4a12a,11.8,12.3,2.6,1.9
Cyp4a12b,10.8,15.7,0.0,1.9
Cyp4a14,0.0,0.0,0.9,3.8
Cyp4a29-ps,0.0,0.0,0.0,0.0
Cyp4a30b-ps,2.2,0.0,0.9,0.0
Cyp4a31,0.0,0.0,4.3,1.9
Cyp4a32,2.2,0.0,0.0,1.9
Cyp4b1,0.0,0.0,2.6,0.9
Cyp4f13,405.6,408.3,298.9,358.6
Cyp4f14,5.4,2.3,4.3,3.8
Cyp4f15,0.0,0.0,1.7,0.0
Cyp4f16,761.7,872.6,737.1,724.8
Cyp4f17,60.3,66.2,53.1,66.6
Cyp4f18,50.6,59.5,20.9,30.4
Cyp4f39,4.3,9.0,5.2,4.8
Cyp4f40,4.3,9.0,6.1,9.5
Cyp4f41-ps,6.5,7.9,7.8,7.6
Cyp4v3,6154.6,6236.0,2974.8,2940.0
Cyp4x1,0.0,0.0,1.7,2.8
Cyp51,3851.4,3851.5,1618.1,1295.5
Cyp7a1,0.0,0.0,2.6,0.0
Cyp7b1,0.0,0.0,25.3,6.7
Cyp8b1,0.0,0.0,0.0,0.0
Cypt1,0.0,0.0,0.0,0.0
Cypt10,0.0,0.0,0.0,1.9
Cypt12,0.0,0.0,0.9,0.0
Cypt14,0.0,0.0,0.0,1.9
Cypt15,0.0,0.0,0.0,0.0
Cypt2-ps,0.0,0.0,0.0,0.0
Cypt3,0.0,0.0,1.7,0.0
